pop_cd,year,month,avg_score,avg_rat,new_avg_rat,city,ages,monthly_spend_rat,population,num_opencard,num_usecard,monthly_card_spend,monthly_lc,monthly_loan,monthly_bk_loan,monthly_cd_loan,monthly_installments_loan,monthly_insurance_loan,monthly_sbk_loan,loan_commitment,inst_rep_loanb,ls_rep_loanb,credit_loan,mortgage_loan,credit_card_payment,credit_card_installments_payment,debit_card_payment,monthly_spend,date
L012,2016,1,740,4,5,서울,20대,3,1039000,3.93,1.99,810000,28600000,24940000,18500000,620000,2110000,680000,1320000,3800000,10520000,9750000,14920000,35450000,254000,83000,473000,727000,2016-01-01
L012,2016,2,782,4,5,서울,20대,3,1678000,3.59,1.75,790000,35580000,30880000,24150000,680000,2300000,790000,1160000,5420000,12220000,12240000,19070000,42420000,278000,83000,429000,707000,2016-02-01
L012,2016,3,782,4,5,서울,20대,3,1679000,3.6,1.74,790000,35760000,31000000,24240000,680000,2300000,790000,1210000,5350000,12280000,12370000,19190000,42480000,267000,78000,445000,712000,2016-03-01
L012,2016,4,782,4,5,서울,20대,3,1685000,3.61,1.75,860000,36260000,31390000,24570000,680000,2300000,790000,1230000,5380000,12320000,12700000,19360000,42980000,292000,89000,479000,771000,2016-04-01
L012,2016,5,781,4,5,서울,20대,3,1682000,3.6,1.75,820000,36800000,31730000,24830000,700000,2320000,770000,1250000,5430000,12420000,12870000,19580000,43370000,285000,82000,453000,738000,2016-05-01
L012,2016,6,782,4,5,서울,20대,3,1683000,3.6,1.76,890000,37240000,32070000,25110000,710000,2320000,760000,1280000,5440000,12600000,13020000,19740000,43720000,310000,88000,492000,802000,2016-06-01
L012,2016,7,782,4,5,서울,20대,3,1685000,3.59,1.76,860000,37440000,32350000,25270000,720000,2340000,760000,1350000,5440000,12780000,13130000,19860000,44250000,305000,85000,470000,775000,2016-07-01
L012,2016,8,783,4,5,서울,20대,3,1685000,3.59,1.77,870000,37710000,32740000,25600000,730000,2350000,760000,1370000,5420000,13070000,13230000,20030000,44880000,307000,89000,474000,781000,2016-08-01
L012,2016,9,783,4,5,서울,20대,3,1686000,3.6,1.77,920000,38240000,33240000,26010000,730000,2360000,800000,1390000,5470000,13380000,13360000,20340000,45490000,321000,88000,511000,832000,2016-09-01
L012,2016,10,783,4,5,서울,20대,3,1689000,3.59,1.77,860000,38600000,33540000,26250000,740000,2350000,800000,1390000,5470000,13520000,13530000,20410000,45820000,300000,84000,476000,776000,2016-10-01
L012,2016,11,784,4,5,서울,20대,3,1689000,3.59,1.77,890000,38900000,33860000,26440000,750000,2360000,810000,1430000,5440000,13700000,13700000,20520000,46320000,315000,90000,485000,800000,2016-11-01
L012,2016,12,784,4,5,서울,20대,3,1689000,3.59,1.77,890000,39200000,34100000,26620000,760000,2370000,810000,1450000,5440000,13800000,13820000,20660000,46790000,310000,97000,483000,793000,2016-12-01
L012,2017,1,784,4,5,서울,20대,3,1690000,3.58,1.76,920000,39290000,34200000,26590000,760000,2390000,810000,1470000,5460000,13810000,13900000,20770000,47010000,330000,95000,495000,825000,2017-01-01
L012,2017,2,784,4,5,서울,20대,3,1621000,3.61,1.78,900000,38960000,33870000,26110000,770000,2390000,800000,1650000,5340000,13800000,13710000,20610000,46610000,319000,90000,491000,810000,2017-02-01
L012,2017,3,785,4,4,서울,20대,3,1614000,3.61,1.77,850000,38870000,33790000,26010000,770000,2370000,800000,1680000,5270000,13810000,13690000,20620000,46450000,295000,88000,467000,762000,2017-03-01
L012,2017,4,785,4,4,서울,20대,3,1622000,3.62,1.78,950000,39070000,34020000,26170000,780000,2400000,810000,1660000,5280000,13910000,13830000,20810000,46870000,331000,99000,520000,851000,2017-04-01
