pop_cd,year,month,avg_score,avg_rat,new_avg_rat,city,ages,monthly_spend_rat,population,total_avg_score,total_avg_rat,total_num_opencard,total_num_usecard,total_monthly_card_spend,total_monthly_lc,total_monthly_loan,total_monthly_bk_loan,total_monthly_cd_loan,total_monthly_installments_loan,total_monthly_insurance_loan,total_monthly_sbk_loan,total_loan_commitment,total_inst_rep_loanb,total_ls_rep_loanb,total_credit_loan,total_mortgage_loan,total_credit_card_payment,total_credit_card_installments_payment,total_debit_card_payment,total_monthly_spend,date
L012,2016,1,740,4,5,서울,20대,3,1039000,768860000,4156000,4083270.0,2067610.0,841590000000,29715400000000,25912660000000,19221500000000,644180000000,2192290000000,706520000000,1371480000000,3948200000000,10930280000000,10130250000000,15501880000000,36832550000000,263906000000,86237000000,491447000000,755353000000,2016-01-01
L012,2016,2,782,4,5,서울,20대,3,1678000,1312196000,6712000,6024020.0,2936500.0,1325620000000,59703240000000,51816640000000,40523700000000,1141040000000,3859400000000,1325620000000,1946480000000,9094760000000,20505160000000,20538720000000,31999460000000,71180760000000,466484000000,139274000000,719862000000,1186346000000,2016-02-01
L012,2016,3,782,4,5,서울,20대,3,1679000,1312978000,6716000,6044400.0,2921460.0,1326410000000,60041040000000,52049000000000,40698960000000,1141720000000,3861700000000,1326410000000,2031590000000,8982650000000,20618120000000,20769230000000,32220010000000,71323920000000,448293000000,130962000000,747155000000,1195448000000,2016-03-01
L012,2016,4,782,4,5,서울,20대,3,1685000,1317670000,6740000,6082850.0,2948750.0,1449100000000,61098100000000,52892150000000,41400450000000,1145800000000,3875500000000,1331150000000,2072550000000,9065300000000,20759200000000,21399500000000,32621600000000,72421300000000,492020000000,149965000000,807115000000,1299135000000,2016-04-01
L012,2016,5,781,4,5,서울,20대,3,1682000,1313642000,6728000,6055200.0,2943500.0,1379240000000,61897600000000,53369860000000,41764060000000,1177400000000,3902240000000,1295140000000,2102500000000,9133260000000,20890440000000,21647340000000,32933560000000,72948340000000,479370000000,137924000000,761946000000,1241316000000,2016-05-01
L012,2016,6,782,4,5,서울,20대,3,1683000,1316106000,6732000,6058800.0,2962080.0,1497870000000,62674920000000,53973810000000,42260130000000,1194930000000,3904560000000,1279080000000,2154240000000,9155520000000,21205800000000,21912660000000,33222420000000,73580760000000,521730000000,148104000000,828036000000,1349766000000,2016-06-01
L012,2016,7,782,4,5,서울,20대,3,1685000,1317670000,6740000,6049150.0,2965600.0,1449100000000,63086400000000,54509750000000,42579950000000,1213200000000,3942900000000,1280600000000,2274750000000,9166400000000,21534300000000,22124050000000,33464100000000,74561250000000,513925000000,143225000000,791950000000,1305875000000,2016-07-01
L012,2016,8,783,4,5,서울,20대,3,1685000,1319355000,6740000,6049150.0,2982450.0,1465950000000,63541350000000,55166900000000,43136000000000,1230050000000,3959750000000,1280600000000,2308450000000,9132700000000,22022950000000,22292550000000,33750550000000,75622800000000,517295000000,149965000000,798690000000,1315985000000,2016-08-01
L012,2016,9,783,4,5,서울,20대,3,1686000,1320138000,6744000,6069600.0,2984220.0,1551120000000,64472640000000,56042640000000,43852860000000,1230780000000,3978960000000,1348800000000,2343540000000,9222420000000,22558680000000,22524960000000,34293240000000,76696140000000,541206000000,148368000000,861546000000,1402752000000,2016-09-01
L012,2016,10,783,4,5,서울,20대,3,1689000,1322487000,6756000,6063510.0,2989530.0,1452540000000,65195400000000,56649060000000,44336250000000,1249860000000,3969150000000,1351200000000,2347710000000,9238830000000,22835280000000,22852170000000,34472490000000,77389980000000,506700000000,141876000000,803964000000,1310664000000,2016-10-01
L012,2016,11,784,4,5,서울,20대,3,1689000,1324176000,6756000,6063510.0,2989530.0,1503210000000,65702100000000,57189540000000,44657160000000,1266750000000,3986040000000,1368090000000,2415270000000,9188160000000,23139300000000,23139300000000,34658280000000,78234480000000,532035000000,152010000000,819165000000,1351200000000,2016-11-01
L012,2016,12,784,4,5,서울,20대,3,1689000,1324176000,6756000,6063510.0,2989530.0,1503210000000,66208800000000,57594900000000,44961180000000,1283640000000,4002930000000,1368090000000,2449050000000,9188160000000,23308200000000,23341980000000,34894740000000,79028310000000,523590000000,163833000000,815787000000,1339377000000,2016-12-01
L012,2017,1,784,4,5,서울,20대,3,1690000,1324960000,6760000,6050200.0,2974400.0,1554800000000,66400100000000,57798000000000,44937100000000,1284400000000,4039100000000,1368900000000,2484300000000,9227400000000,23338900000000,23491000000000,35101300000000,79446900000000,557700000000,160550000000,836550000000,1394250000000,2017-01-01
L012,2017,2,784,4,5,서울,20대,3,1621000,1270864000,6484000,5851810.0,2885380.0,1458900000000,63154160000000,54903270000000,42324310000000,1248170000000,3874190000000,1296800000000,2674650000000,8656140000000,22369800000000,22223910000000,33408810000000,75554810000000,517099000000,145890000000,795911000000,1313010000000,2017-02-01
L012,2017,3,785,4,4,서울,20대,3,1614000,1266990000,6456000,5826540.0,2856780.0,1371900000000,62736180000000,54537060000000,41980140000000,1242780000000,3825180000000,1291200000000,2711520000000,8505780000000,22289340000000,22095660000000,33280680000000,74970300000000,476130000000,142032000000,753738000000,1229868000000,2017-03-01
L012,2017,4,785,4,4,서울,20대,3,1622000,1273270000,6488000,5871640.0,2887160.0,1540900000000,63371540000000,55180440000000,42447740000000,1265160000000,3892800000000,1313820000000,2692520000000,8564160000000,22562020000000,22432260000000,33753820000000,76023140000000,536882000000,160578000000,843440000000,1380322000000,2017-04-01
L012,2017,5,786,4,4,서울,20대,3,1625000,1277250000,6500000,5866250.0,2892500.0,1462500000000,64008750000000,55786250000000,42948750000000,1283750000000,3932500000000,1300000000000,2697500000000,8645000000000,22896250000000,22603750000000,34157500000000,76716250000000,521625000000,152750000000,788125000000,1309750000000,2017-05-01
L012,2017,6,786,4,4,서울,20대,3,1627000,1278822000,6508000,5873470.0,2896060.0,1610730000000,64250230000000,56115230000000,43327010000000,1301600000000,3937340000000,1252790000000,2717090000000,8671910000000,23022050000000,22761730000000,34459860000000,77119800000000,572704000000,162700000000,875326000000,1448030000000,2017-06-01
L012,2017,7,786,4,4,서울,20대,3,1629000,1280394000,6516000,5880690.0,2899620.0,1531260000000,64817910000000,56754360000000,43966710000000,1303200000000,3958470000000,1238040000000,2687850000000,8666280000000,23376150000000,23066640000000,34876890000000,77866200000000,547344000000,156384000000,827532000000,1374876000000,2017-07-01
L012,2017,8,786,4,4,서울,20대,3,1632000,1282752000,6528000,5891520.0,2921280.0,1599360000000,65133120000000,57087360000000,44423040000000,1305600000000,3916800000000,1191360000000,2660160000000,8682240000000,23419200000000,23370240000000,35463360000000,76540800000000,577728000000,164832000000,856800000000,1434528000000,2017-08-01
L012,2017,9,786,4,4,서울,20대,3,1635000,1285110000,6540000,5902350.0,2926650.0,1602300000000,65465400000000,57601050000000,45011550000000,1308000000000,3907650000000,1160850000000,2665050000000,8812650000000,23445900000000,23707500000000,36084450000000,76223700000000,580425000000,160230000000,861645000000,1442070000000,2017-09-01
L012,2017,10,787,4,4,서울,20대,3,1639000,1289893000,6556000,5900400.0,2933810.0,1573440000000,65576390000000,57758360000000,45138060000000,1311200000000,3900820000000,1147300000000,2704350000000,8768650000000,23404920000000,23962180000000,36254680000000,76541300000000,575289000000,163900000000,834251000000,1409540000000,2017-10-01
L012,2017,11,787,4,4,서울,20대,3,1639000,1289893000,6556000,5900400.0,2917420.0,1573440000000,65363320000000,57692800000000,45072500000000,1343980000000,3900820000000,1130910000000,2704350000000,8670310000000,23159070000000,24224420000000,36402190000000,76279060000000,563816000000,158983000000,850641000000,1414457000000,2017-11-01
L012,2017,12,787,4,4,서울,20대,3,1639000,1289893000,6556000,5900400.0,2917420.0,1557050000000,65625560000000,57758360000000,45187230000000,1343980000000,3900820000000,1098130000000,2671570000000,8801430000000,22847660000000,24470270000000,36811940000000,75869310000000,565455000000,178651000000,812944000000,1378399000000,2017-12-01
L022,2016,1,726,4,5,인천,20대,4,303000,219978000,1212000,1151400.0,590850.0,218160000000,8714280000000,7481070000000,4802550000000,169680000000,1039290000000,342390000000,415110000000,481770000000,4435920000000,2324010000000,3542070000000,10241400000000,64539000000,23634000000,129987000000,194526000000,2016-01-01
L022,2016,2,764,4,5,인천,20대,4,429000,327756000,1716000,1578720.0,776490.0,317460000000,14350050000000,12269400000000,8283990000000,270270000000,1552980000000,489060000000,549120000000,995280000000,6932640000000,3942510000000,5877300000000,16503630000000,105963000000,36894000000,174603000000,280566000000,2016-02-01
L022,2016,3,764,4,5,인천,20대,4,429000,327756000,1716000,1583010.0,772200.0,317460000000,14513070000000,12260820000000,8241090000000,274560000000,1548690000000,497640000000,579150000000,973830000000,6915480000000,3972540000000,5885880000000,16439280000000,102960000000,34320000000,180180000000,283140000000,2016-03-01
L022,2016,4,765,4,5,인천,20대,3,430000,328950000,1720000,1591000.0,778300.0,344000000000,14671600000000,12444200000000,8350600000000,279500000000,1552300000000,507400000000,589100000000,980400000000,6974600000000,4089300000000,5955500000000,16684000000000,113520000000,39560000000,190920000000,304440000000,2016-04-01
L022,2016,5,764,4,5,인천,20대,3,431000,329284000,1724000,1594700.0,784420.0,331870000000,15240160000000,12684330000000,8495010000000,284460000000,1564530000000,512890000000,603400000000,974060000000,7038230000000,4266900000000,6068480000000,16955540000000,111198000000,37497000000,183175000000,294373000000,2016-05-01
L022,2016,6,764,4,5,인천,20대,3,431000,329284000,1724000,1594700.0,788730.0,362040000000,15391010000000,12822250000000,8551040000000,293080000000,1590390000000,512890000000,620640000000,969750000000,7115810000000,4331550000000,6137440000000,17127940000000,121542000000,40083000000,200415000000,321957000000,2016-06-01
L022,2016,7,765,4,5,인천,20대,3,431000,329715000,1724000,1586080.0,788730.0,344800000000,15494450000000,12955860000000,8594140000000,293080000000,1594700000000,504270000000,663740000000,969750000000,7214940000000,4370340000000,6180540000000,17352060000000,119387000000,38359000000,187054000000,306441000000,2016-07-01
L022,2016,8,766,4,5,인천,20대,3,431000,330146000,1724000,1586080.0,793040.0,353420000000,15658230000000,13149810000000,8770850000000,297390000000,1590390000000,495650000000,663740000000,974060000000,7335620000000,4430680000000,6227950000000,17653760000000,119818000000,40945000000,192657000000,312475000000,2016-08-01
L022,2016,9,766,4,5,인천,20대,3,432000,330912000,1728000,1594080.0,799200.0,371520000000,15863040000000,13374720000000,8972640000000,302400000000,1594080000000,509760000000,678240000000,976320000000,7482240000000,4510080000000,6337440000000,17923680000000,124416000000,39744000000,207360000000,331776000000,2016-09-01
L022,2016,10,766,4,5,인천,20대,3,432000,330912000,1728000,1594080.0,794880.0,354240000000,16035840000000,13500000000000,9076320000000,311040000000,1589760000000,527040000000,686880000000,963360000000,7564320000000,4557600000000,6389280000000,18036000000000,117504000000,38448000000,198288000000,315792000000,2016-10-01
