pop_cd,year,month,avg_score,avg_rat,new_avg_rat,sex,ages,monthly_spend_rat,population,num_opencard,num_usecard,monthly_card_spend,monthly_lc,monthly_loan,monthly_bk_loan,monthly_cd_loan,monthly_installments_loan,monthly_insurance_loan,monthly_sbk_loan,loan_commitment,inst_rep_loanb,ls_rep_loanb,credit_loan,mortgage_loan,credit_card_payment,credit_card_installments_payment,debit_card_payment,monthly_spend,date
Y20,2016,1,733,4,5,남자,20대,4,3815000,3.23,1.69,530000,28940000,24290000,15220000,450000,4040000,650000,1320000,2830000,11850000,8960000,13890000,31100000,132000,37000,361000,493000,2016-01-01
Y20,2016,2,766,4,5,남자,20대,4,4015000,3.45,1.6,640000,36050000,30230000,20560000,520000,4170000,830000,1240000,3990000,14010000,11470000,17260000,38040000,209000,55000,376000,585000,2016-02-01
Y20,2016,3,766,4,5,남자,20대,4,4009000,3.47,1.6,640000,36180000,30280000,20540000,520000,4180000,830000,1290000,3970000,13980000,11560000,17360000,37970000,203000,51000,386000,589000,2016-03-01
Y20,2016,4,766,4,5,남자,20대,4,4020000,3.49,1.61,700000,36570000,30600000,20800000,530000,4180000,840000,1320000,3980000,14020000,11840000,17500000,38320000,224000,60000,416000,640000,2016-04-01
Y20,2016,5,765,4,5,남자,20대,4,4031000,3.48,1.62,660000,37040000,30950000,21070000,550000,4190000,840000,1350000,4020000,14110000,12050000,17730000,38720000,218000,55000,387000,605000,2016-05-01
Y20,2016,6,765,4,5,남자,20대,4,4038000,3.49,1.63,720000,37470000,31320000,21290000,560000,4230000,840000,1380000,4030000,14280000,12240000,17910000,39140000,240000,59000,421000,661000,2016-06-01
Y20,2016,7,766,4,5,남자,20대,4,4047000,3.48,1.63,700000,37650000,31570000,21400000,580000,4230000,840000,1480000,4020000,14430000,12340000,18010000,39570000,238000,58000,404000,642000,2016-07-01
Y20,2016,8,766,4,5,남자,20대,4,4052000,3.48,1.64,700000,37880000,31880000,21630000,590000,4230000,840000,1500000,4010000,14600000,12490000,18110000,40070000,234000,61000,405000,639000,2016-08-01
Y20,2016,9,766,4,5,남자,20대,3,4058000,3.49,1.65,740000,38240000,32280000,21910000,600000,4240000,880000,1530000,4020000,14880000,12610000,18340000,40510000,240000,59000,441000,681000,2016-09-01
Y20,2016,10,766,4,5,남자,20대,4,4066000,3.5,1.64,700000,38510000,32530000,22070000,620000,4240000,880000,1530000,3990000,14940000,12820000,18400000,40810000,227000,56000,417000,644000,2016-10-01
Y20,2016,11,766,4,5,남자,20대,4,4072000,3.49,1.65,720000,38790000,32830000,22220000,630000,4260000,890000,1580000,3950000,15090000,13000000,18570000,41250000,239000,60000,421000,660000,2016-11-01
Y20,2016,12,766,4,5,남자,20대,4,4075000,3.5,1.64,720000,38910000,32960000,22250000,650000,4290000,900000,1600000,3940000,15180000,13040000,18640000,41510000,235000,64000,421000,656000,2016-12-01
Y20,2017,1,767,4,5,남자,20대,3,4112000,3.47,1.63,760000,38940000,32990000,22170000,660000,4340000,910000,1620000,3920000,15180000,13090000,18680000,41590000,258000,64000,438000,696000,2017-01-01
Y20,2017,2,767,4,5,남자,20대,3,4108000,3.47,1.63,740000,38770000,32810000,21880000,670000,4320000,900000,1770000,3880000,15100000,13050000,18600000,41370000,243000,60000,437000,680000,2017-02-01
Y20,2017,3,768,4,5,남자,20대,4,4100000,3.47,1.63,690000,38710000,32800000,21830000,690000,4310000,890000,1800000,3840000,15120000,13050000,18630000,41400000,223000,57000,410000,633000,2017-03-01
Y20,2017,4,768,4,5,남자,20대,3,4111000,3.48,1.63,780000,38890000,33030000,21950000,700000,4370000,900000,1790000,3860000,15220000,13160000,18810000,41730000,255000,65000,460000,715000,2017-04-01
Y20,2017,5,769,4,5,남자,20대,4,4116000,3.48,1.63,730000,39110000,33300000,22160000,720000,4390000,890000,1800000,3900000,15360000,13250000,19030000,42000000,244000,62000,424000,668000,2017-05-01
Y20,2017,6,768,4,5,남자,20대,3,4120000,3.48,1.64,810000,39220000,33450000,22220000,740000,4430000,880000,1810000,3910000,15440000,13310000,19210000,42140000,268000,67000,475000,743000,2017-06-01
Y20,2017,7,769,4,5,남자,20대,3,4125000,3.47,1.64,770000,39510000,33790000,22500000,760000,4460000,870000,1780000,3910000,15620000,13460000,19450000,42250000,256000,64000,450000,706000,2017-07-01
Y20,2017,8,769,4,5,남자,20대,3,4129000,3.48,1.64,810000,39210000,33610000,22450000,750000,4410000,850000,1750000,3900000,15540000,13370000,19710000,41170000,272000,68000,470000,742000,2017-08-01
Y20,2017,9,769,4,5,남자,20대,3,4133000,3.48,1.64,820000,39270000,33740000,22570000,760000,4410000,830000,1750000,3950000,15630000,13370000,19970000,41040000,271000,65000,484000,755000,2017-09-01
Y20,2017,10,770,4,5,남자,20대,3,4137000,3.48,1.64,790000,39450000,33920000,22690000,770000,4420000,820000,1770000,3940000,15740000,13440000,20080000,41290000,268000,66000,456000,724000,2017-10-01
Y20,2017,11,770,4,5,남자,20대,3,4142000,3.48,1.64,800000,39480000,34000000,22750000,780000,4430000,810000,1780000,3910000,15800000,13480000,20180000,41370000,267000,65000,468000,735000,2017-11-01
Y20,2017,12,770,4,5,남자,20대,3,4150000,3.48,1.64,790000,39600000,34100000,22850000,790000,4450000,810000,1740000,3960000,15800000,13530000,20330000,41410000,270000,73000,447000,717000,2017-12-01
Y25,2016,1,742,4,5,여자,20대,4,3370000,3.39,1.92,680000,27630000,23110000,15170000,640000,2290000,840000,1330000,2600000,10470000,9150000,12410000,33830000,185000,76000,419000,604000,2016-01-01
Y25,2016,2,779,4,5,여자,20대,3,3515000,3.71,1.88,790000,31890000,26470000,18150000,740000,2470000,970000,1200000,3260000,11650000,10500000,14240000,38180000,269000,103000,418000,687000,2016-02-01
Y25,2016,3,780,4,5,여자,20대,3,3512000,3.72,1.87,790000,32150000,26640000,18240000,740000,2470000,970000,1270000,3270000,11680000,10630000,14390000,38340000,260000,98000,432000,692000,2016-03-01
Y25,2016,4,780,4,5,여자,20대,3,3522000,3.72,1.88,870000,32590000,26970000,18490000,750000,2480000,970000,1290000,3290000,11720000,10890000,14520000,38820000,285000,112000,473000,758000,2016-04-01
Y25,2016,5,780,4,5,여자,20대,3,3528000,3.72,1.88,820000,33070000,27330000,18740000,760000,2500000,970000,1310000,3300000,11830000,11120000,14670000,39310000,278000,103000,439000,717000,2016-05-01
Y25,2016,6,780,4,5,여자,20대,3,3533000,3.72,1.89,890000,33490000,27710000,19040000,770000,2520000,980000,1340000,3320000,12000000,11300000,14860000,39760000,302000,111000,477000,779000,2016-06-01
Y25,2016,7,781,4,5,여자,20대,3,3539000,3.7,1.89,850000,33620000,27940000,19130000,780000,2530000,980000,1420000,3340000,12110000,11400000,14960000,40220000,295000,107000,448000,743000,2016-07-01
Y25,2016,8,782,4,5,여자,20대,3,3542000,3.7,1.89,870000,33880000,28280000,19400000,780000,2540000,990000,1440000,3340000,12290000,11550000,15100000,40780000,298000,112000,460000,758000,2016-08-01
Y25,2016,9,782,4,5,여자,20대,3,3549000,3.7,1.89,910000,34230000,28660000,19640000,790000,2560000,1020000,1470000,3340000,12520000,11710000,15300000,41360000,310000,109000,491000,801000,2016-09-01
Y25,2016,10,783,4,5,여자,20대,3,3557000,3.7,1.89,860000,34550000,28940000,19850000,800000,2560000,1040000,1470000,3340000,12600000,11900000,15380000,41680000,290000,105000,465000,755000,2016-10-01
Y25,2016,11,783,4,5,여자,20대,3,3563000,3.68,1.89,890000,34870000,29260000,20050000,800000,2560000,1040000,1520000,3340000,12700000,12120000,15590000,42160000,306000,113000,471000,777000,2016-11-01
Y25,2016,12,783,4,5,여자,20대,3,3567000,3.68,1.88,890000,35110000,29490000,20170000,810000,2580000,1060000,1540000,3350000,12810000,12240000,15720000,42580000,303000,121000,466000,769000,2016-12-01
