pop_cd,year,month,avg_score,avg_rat,new_avg_rat,sex,ages,monthly_spend_rat,population,total_avg_score,total_avg_rat,total_num_opencard,total_num_usecard,total_monthly_card_spend,total_monthly_lc,total_monthly_loan,total_monthly_bk_loan,total_monthly_cd_loan,total_monthly_installments_loan,total_monthly_insurance_loan,total_monthly_sbk_loan,total_loan_commitment,total_inst_rep_loanb,total_ls_rep_loanb,total_credit_loan,total_mortgage_loan,total_credit_card_payment,total_credit_card_installments_payment,total_debit_card_payment,total_monthly_spend,date
Y20,2016,1,733,4,5,남자,20대,4,3815000,2796395000,15260000,12322450.0,6447350.0,2021950000000,110406100000000,92666350000000,58064300000000,1716750000000,15412600000000,2479750000000,5035800000000,10796450000000,45207750000000,34182400000000,52990350000000,118646500000000,503580000000,141155000000,1377215000000,1880795000000,2016-01-01
Y20,2016,2,766,4,5,남자,20대,4,4015000,3075490000,16060000,13851750.0,6424000.0,2569600000000,144740750000000,121373450000000,82548400000000,2087800000000,16742550000000,3332450000000,4978600000000,16019850000000,56250150000000,46052050000000,69298900000000,152730600000000,839135000000,220825000000,1509640000000,2348775000000,2016-02-01
Y20,2016,3,766,4,5,남자,20대,4,4009000,3070894000,16036000,13911230.0,6414400.0,2565760000000,145045620000000,121392520000000,82344860000000,2084680000000,16757620000000,3327470000000,5171610000000,15915730000000,56045820000000,46344040000000,69596240000000,152221730000000,813827000000,204459000000,1547474000000,2361301000000,2016-03-01
Y20,2016,4,766,4,5,남자,20대,4,4020000,3079320000,16080000,14029800.0,6472200.0,2814000000000,147011400000000,123012000000000,83616000000000,2130600000000,16803600000000,3376800000000,5306400000000,15999600000000,56360400000000,47596800000000,70350000000000,154046400000000,900480000000,241200000000,1672320000000,2572800000000,2016-04-01
Y20,2016,5,765,4,5,남자,20대,4,4031000,3083715000,16124000,14027880.0,6530220.0,2660460000000,149308240000000,124759450000000,84933170000000,2217050000000,16889890000000,3386040000000,5441850000000,16204620000000,56877410000000,48573550000000,71469630000000,156080320000000,878758000000,221705000000,1559997000000,2438755000000,2016-05-01
Y20,2016,6,765,4,5,남자,20대,4,4038000,3089070000,16152000,14092620.0,6581940.0,2907360000000,151303860000000,126470160000000,85969020000000,2261280000000,17080740000000,3391920000000,5572440000000,16273140000000,57662640000000,49425120000000,72320580000000,158047320000000,969120000000,238242000000,1699998000000,2669118000000,2016-06-01
Y20,2016,7,766,4,5,남자,20대,4,4047000,3100002000,16188000,14083560.0,6596610.0,2832900000000,152369550000000,127763790000000,86605800000000,2347260000000,17118810000000,3399480000000,5989560000000,16268940000000,58398210000000,49939980000000,72886470000000,160139790000000,963186000000,234726000000,1634988000000,2598174000000,2016-07-01
Y20,2016,8,766,4,5,남자,20대,4,4052000,3103832000,16208000,14100960.0,6645280.0,2836400000000,153489760000000,129177760000000,87644760000000,2390680000000,17139960000000,3403680000000,6078000000000,16248520000000,59159200000000,50609480000000,73381720000000,162363640000000,948168000000,247172000000,1641060000000,2589228000000,2016-08-01
Y20,2016,9,766,4,5,남자,20대,3,4058000,3108428000,16232000,14162420.0,6695700.0,3002920000000,155177920000000,130992240000000,88910780000000,2434800000000,17205920000000,3571040000000,6208740000000,16313160000000,60383040000000,51171380000000,74423720000000,164389580000000,973920000000,239422000000,1789578000000,2763498000000,2016-09-01
Y20,2016,10,766,4,5,남자,20대,4,4066000,3114556000,16264000,14231000.0,6668240.0,2846200000000,156581660000000,132266980000000,89736620000000,2520920000000,17239840000000,3578080000000,6220980000000,16223340000000,60746040000000,52126120000000,74814400000000,165933460000000,922982000000,227696000000,1695522000000,2618504000000,2016-10-01
Y20,2016,11,766,4,5,남자,20대,4,4072000,3119152000,16288000,14211280.0,6718800.0,2931840000000,157952880000000,133683760000000,90479840000000,2565360000000,17346720000000,3624080000000,6433760000000,16084400000000,61446480000000,52936000000000,75617040000000,167970000000000,973208000000,244320000000,1714312000000,2687520000000,2016-11-01
Y20,2016,12,766,4,5,남자,20대,4,4075000,3121450000,16300000,14262500.0,6683000.0,2934000000000,158558250000000,134312000000000,90668750000000,2648750000000,17481750000000,3667500000000,6520000000000,16055500000000,61858500000000,53138000000000,75958000000000,169153250000000,957625000000,260800000000,1715575000000,2673200000000,2016-12-01
Y20,2017,1,767,4,5,남자,20대,3,4112000,3153904000,16448000,14268640.0,6702560.0,3125120000000,160121280000000,135654880000000,91163040000000,2713920000000,17846080000000,3741920000000,6661440000000,16119040000000,62420160000000,53826080000000,76812160000000,171018080000000,1060896000000,263168000000,1801056000000,2861952000000,2017-01-01
Y20,2017,2,767,4,5,남자,20대,3,4108000,3150836000,16432000,14254760.0,6696040.0,3039920000000,159267160000000,134783480000000,89883040000000,2752360000000,17746560000000,3697200000000,7271160000000,15939040000000,62030800000000,53609400000000,76408800000000,169947960000000,998244000000,246480000000,1795196000000,2793440000000,2017-02-01
Y20,2017,3,768,4,5,남자,20대,4,4100000,3148800000,16400000,14227000.0,6683000.0,2829000000000,158711000000000,134480000000000,89503000000000,2829000000000,17671000000000,3649000000000,7380000000000,15744000000000,61992000000000,53505000000000,76383000000000,169740000000000,914300000000,233700000000,1681000000000,2595300000000,2017-03-01
Y20,2017,4,768,4,5,남자,20대,3,4111000,3157248000,16444000,14306280.0,6700930.0,3206580000000,159876790000000,135786330000000,90236450000000,2877700000000,17965070000000,3699900000000,7358690000000,15868460000000,62569420000000,54100760000000,77327910000000,171552030000000,1048305000000,267215000000,1891060000000,2939365000000,2017-04-01
Y20,2017,5,769,4,5,남자,20대,4,4116000,3165204000,16464000,14323680.0,6709080.0,3004680000000,160976760000000,137062800000000,91210560000000,2963520000000,18069240000000,3663240000000,7408800000000,16052400000000,63221760000000,54537000000000,78327480000000,172872000000000,1004304000000,255192000000,1745184000000,2749488000000,2017-05-01
Y20,2017,6,768,4,5,남자,20대,3,4120000,3164160000,16480000,14337600.0,6756800.0,3337200000000,161586400000000,137814000000000,91546400000000,3048800000000,18251600000000,3625600000000,7457200000000,16109200000000,63612800000000,54837200000000,79145200000000,173616800000000,1104160000000,276040000000,1957000000000,3061160000000,2017-06-01
Y20,2017,7,769,4,5,남자,20대,3,4125000,3172125000,16500000,14313750.0,6765000.0,3176250000000,162978750000000,139383750000000,92812500000000,3135000000000,18397500000000,3588750000000,7342500000000,16128750000000,64432500000000,55522500000000,80231250000000,174281250000000,1056000000000,264000000000,1856250000000,2912250000000,2017-07-01
Y20,2017,8,769,4,5,남자,20대,3,4129000,3175201000,16516000,14368920.0,6771560.0,3344490000000,161898090000000,138775690000000,92696050000000,3096750000000,18208890000000,3509650000000,7225750000000,16103100000000,64164660000000,55204730000000,81382590000000,169990930000000,1123088000000,280772000000,1940630000000,3063718000000,2017-08-01
Y20,2017,9,769,4,5,남자,20대,3,4133000,3178277000,16532000,14382840.0,6778120.0,3389060000000,162302910000000,139447420000000,93281810000000,3141080000000,18226530000000,3430390000000,7232750000000,16325350000000,64598790000000,55258210000000,82536010000000,169618320000000,1120043000000,268645000000,2000372000000,3120415000000,2017-09-01
Y20,2017,10,770,4,5,남자,20대,3,4137000,3185490000,16548000,14396760.0,6784680.0,3268230000000,163204650000000,140327040000000,93868530000000,3185490000000,18285540000000,3392340000000,7322490000000,16299780000000,65116380000000,55601280000000,83070960000000,170816730000000,1108716000000,273042000000,1886472000000,2995188000000,2017-10-01
Y20,2017,11,770,4,5,남자,20대,3,4142000,3189340000,16568000,14414160.0,6792880.0,3313600000000,163526160000000,140828000000000,94230500000000,3230760000000,18349060000000,3355020000000,7372760000000,16195220000000,65443600000000,55834160000000,83585560000000,171354540000000,1105914000000,269230000000,1938456000000,3044370000000,2017-11-01
Y20,2017,12,770,4,5,남자,20대,3,4150000,3195500000,16600000,14442000.0,6806000.0,3278500000000,164340000000000,141515000000000,94827500000000,3278500000000,18467500000000,3361500000000,7221000000000,16434000000000,65570000000000,56149500000000,84369500000000,171851500000000,1120500000000,302950000000,1855050000000,2975550000000,2017-12-01
Y25,2016,1,742,4,5,여자,20대,4,3370000,2500540000,13480000,11424300.0,6470400.0,2291600000000,93113100000000,77880700000000,51122900000000,2156800000000,7717300000000,2830800000000,4482100000000,8762000000000,35283900000000,30835500000000,41821700000000,114007100000000,623450000000,256120000000,1412030000000,2035480000000,2016-01-01
Y25,2016,2,779,4,5,여자,20대,3,3515000,2738185000,14060000,13040650.0,6608200.0,2776850000000,112093350000000,93042050000000,63797250000000,2601100000000,8682050000000,3409550000000,4218000000000,11458900000000,40949750000000,36907500000000,50053600000000,134202700000000,945535000000,362045000000,1469270000000,2414805000000,2016-02-01
Y25,2016,3,780,4,5,여자,20대,3,3512000,2739360000,14048000,13064640.0,6567440.0,2774480000000,112910800000000,93559680000000,64058880000000,2598880000000,8674640000000,3406640000000,4460240000000,11484240000000,41020160000000,37332560000000,50537680000000,134650080000000,913120000000,344176000000,1517184000000,2430304000000,2016-03-01
Y25,2016,4,780,4,5,여자,20대,3,3522000,2747160000,14088000,13101840.0,6621360.0,3064140000000,114781980000000,94988340000000,65121780000000,2641500000000,8734560000000,3416340000000,4543380000000,11587380000000,41277840000000,38354580000000,51139440000000,136724040000000,1003770000000,394464000000,1665906000000,2669676000000,2016-04-01
Y25,2016,5,780,4,5,여자,20대,3,3528000,2751840000,14112000,13124160.0,6632640.0,2892960000000,116670960000000,96420240000000,66114720000000,2681280000000,8820000000000,3422160000000,4621680000000,11642400000000,41736240000000,39231360000000,51755760000000,138685680000000,980784000000,363384000000,1548792000000,2529576000000,2016-05-01
Y25,2016,6,780,4,5,여자,20대,3,3533000,2755740000,14132000,13142760.0,6677370.0,3144370000000,118320170000000,97899430000000,67268320000000,2720410000000,8903160000000,3462340000000,4734220000000,11729560000000,42396000000000,39922900000000,52500380000000,140472080000000,1066966000000,392163000000,1685241000000,2752207000000,2016-06-01
Y25,2016,7,781,4,5,여자,20대,3,3539000,2763959000,14156000,13094300.0,6688710.0,3008150000000,118981180000000,98879660000000,67701070000000,2760420000000,8953670000000,3468220000000,5025380000000,11820260000000,42857290000000,40344600000000,52943440000000,142338580000000,1044005000000,378673000000,1585472000000,2629477000000,2016-07-01
Y25,2016,8,782,4,5,여자,20대,3,3542000,2769844000,14168000,13105400.0,6694380.0,3081540000000,120002960000000,100167760000000,68714800000000,2762760000000,8996680000000,3506580000000,5100480000000,11830280000000,43531180000000,40910100000000,53484200000000,144442760000000,1055516000000,396704000000,1629320000000,2684836000000,2016-08-01
Y25,2016,9,782,4,5,여자,20대,3,3549000,2775318000,14196000,13131300.0,6707610.0,3229590000000,121482270000000,101714340000000,69702360000000,2803710000000,9085440000000,3619980000000,5217030000000,11853660000000,44433480000000,41558790000000,54299700000000,146786640000000,1100190000000,386841000000,1742559000000,2842749000000,2016-09-01
Y25,2016,10,783,4,5,여자,20대,3,3557000,2785131000,14228000,13160900.0,6722730.0,3059020000000,122894350000000,102939580000000,70606450000000,2845600000000,9105920000000,3699280000000,5228790000000,11880380000000,44818200000000,42328300000000,54706660000000,148255760000000,1031530000000,373485000000,1654005000000,2685535000000,2016-10-01
Y25,2016,11,783,4,5,여자,20대,3,3563000,2789829000,14252000,13111840.0,6734070.0,3171070000000,124241810000000,104253380000000,71438150000000,2850400000000,9121280000000,3705520000000,5415760000000,11900420000000,45250100000000,43183560000000,55547170000000,150216080000000,1090278000000,402619000000,1678173000000,2768451000000,2016-11-01
Y25,2016,12,783,4,5,여자,20대,3,3567000,2792961000,14268000,13126560.0,6705960.0,3174630000000,125237370000000,105190830000000,71946390000000,2889270000000,9202860000000,3781020000000,5493180000000,11949450000000,45693270000000,43660080000000,56073240000000,151882860000000,1080801000000,431607000000,1662222000000,2743023000000,2016-12-01
Y25,2017,1,784,4,5,여자,20대,3,3593000,2816912000,14372000,13078520.0,6718910.0,3305560000000,126689180000000,106496520000000,72578600000000,2946260000000,9377730000000,3844510000000,5605080000000,12036550000000,46277840000000,44265760000000,56841260000000,153816330000000,1135388000000,420381000000,1749791000000,2885179000000,2017-01-01
Y25,2017,2,784,4,5,여자,20대,3,3589000,2813776000,14356000,13063960.0,6711430.0,3158320000000,126512250000000,106234400000000,71887670000000,2907090000000,9295510000000,3804340000000,6280750000000,11915480000000,46046870000000,44395930000000,56813870000000,153178520000000,1098234000000,394790000000,1665296000000,2763530000000,2017-02-01
Y25,2017,3,785,4,4,여자,20대,3,3584000,2813440000,14336000,13045760.0,6666240.0,3046400000000,126658560000000,106588160000000,72289280000000,2938880000000,9246720000000,3834880000000,6343680000000,11827200000000,46269440000000,44656640000000,57021440000000,154040320000000,1021440000000,383488000000,1641472000000,2662912000000,2017-03-01
Y25,2017,4,785,4,4,여자,20대,3,3594000,2821290000,14376000,13118100.0,6720780.0,3414300000000,127371360000000,107496540000000,72886320000000,2983020000000,9416280000000,3845580000000,6325440000000,11896140000000,46793880000000,44996880000000,57719640000000,155763960000000,1146486000000,434874000000,1832940000000,2979426000000,2017-04-01
Y25,2017,5,785,4,4,여자,20대,3,3599000,2825215000,14396000,13064370.0,6730130.0,3203110000000,128340340000000,108581830000000,73743510000000,3023160000000,9429380000000,3778950000000,6370230000000,11876700000000,47326850000000,45563340000000,58231820000000,157600210000000,1108492000000,406687000000,1687931000000,2796423000000,2017-05-01
Y25,2017,6,785,4,4,여자,20대,3,3605000,2829925000,14420000,13122200.0,6741350.0,3532900000000,129059000000000,109303600000000,74190900000000,3064250000000,9517200000000,3785250000000,6452950000000,11932550000000,47694150000000,45783500000000,58761500000000,158692100000000,1211280000000,436205000000,1885415000000,3096695000000,2017-06-01
Y25,2017,7,786,4,4,여자,20대,3,3608000,2835888000,14432000,13097040.0,6746960.0,3319360000000,129924080000000,110404800000000,75262880000000,3102880000000,9561200000000,3752320000000,6350080000000,11942480000000,48455440000000,46146320000000,59423760000000,160303440000000,1150952000000,414920000000,1753488000000,2904440000000,2017-07-01
Y25,2017,8,786,4,4,여자,20대,3,3612000,2839032000,14448000,13111560.0,6790560.0,3467520000000,129887520000000,110671680000000,75707520000000,3106320000000,9535680000000,3684240000000,6321000000000,11955720000000,48653640000000,46197480000000,60103680000000,157844400000000,1202796000000,440664000000,1824060000000,3026856000000,2017-08-01
Y25,2017,9,786,4,4,여자,20대,3,3620000,2845320000,14480000,13140600.0,6805600.0,3475200000000,130102800000000,111134000000000,76128600000000,3113200000000,9520600000000,3620000000000,6335000000000,12090800000000,48870000000000,46372200000000,60997000000000,156963200000000,1209080000000,423540000000,1842580000000,3051660000000,2017-09-01
Y25,2017,10,787,4,4,여자,20대,3,3625000,2852875000,14500000,13122500.0,6815000.0,3407500000000,130645000000000,111722500000000,76523750000000,3153750000000,9497500000000,3588750000000,6525000000000,12107500000000,49191250000000,46617500000000,61371250000000,158013750000000,1203500000000,435000000000,1769000000000,2972500000000,2017-10-01
Y25,2017,11,787,4,4,여자,20대,3,3630000,2856810000,14520000,13140600.0,6824400.0,3412200000000,130752600000000,112058100000000,76883400000000,3194400000000,9510600000000,3557400000000,6570300000000,11979000000000,49295400000000,46935900000000,61673700000000,158159100000000,1176120000000,421080000000,1815000000000,2991120000000,2017-11-01
Y25,2017,12,787,4,4,여자,20대,3,3636000,2861532000,14544000,13125960.0,6799320.0,3454200000000,131550480000000,112570560000000,77337720000000,3199680000000,9562680000000,3563280000000,6508440000000,12035160000000,49522320000000,47158920000000,62248320000000,158420520000000,1192608000000,479952000000,1781640000000,2974248000000,2017-12-01
Y30,2016,1,748,4,5,남자,30대,2,4457000,3333836000,17828000,19165100.0,10830510.0,6819210000000,323979330000000,275977440000000,215585090000000,4011300000000,19789080000000,9805400000000,4278720000000,44035160000000,127648480000000,98098570000000,133130590000000,331556230000000,3975644000000,891400000000,1952166000000,5927810000000,2016-01-01
Y30,2016,2,788,3,4,남자,30대,2,4665000,3676020000,13995000,18426750.0,9516600.0,7230750000000,374226300000000,318292950000000,250930350000000,4711650000000,20992500000000,11989050000000,4525050000000,50988450000000,148673550000000,111493500000000,148440300000000,379497750000000,4263810000000,998310000000,1968630000000,6232440000000,2016-02-01
Y30,2016,3,789,3,4,남자,30대,2,4669000,3683841000,14007000,18442550.0,9524760.0,6863430000000,376181330000000,319546360000000,251425650000000,4762380000000,21103880000000,12046020000000,4809070000000,51312310000000,148194060000000,112896420000000,149408000000000,380990400000000,4080706000000,868434000000,1914290000000,5994996000000,2016-03-01
Y30,2016,4,789,3,4,남자,30대,1,4666000,3681474000,13998000,18430700.0,9518640.0,7558920000000,379159160000000,321860680000000,253597100000000,4712660000000,21090320000000,11944960000000,4945960000000,51279340000000,147865540000000,115670140000000,150338520000000,382378700000000,4512022000000,998524000000,2048374000000,6560396000000,2016-04-01
Y30,2016,5,789,3,4,남자,30대,1,4671000,3685419000,14013000,18403740.0,9528840.0,7333470000000,383722650000000,325428570000000,256437900000000,4764420000000,21206340000000,11957760000000,5091390000000,51474420000000,149004900000000,117896040000000,151760790000000,386291700000000,4395411000000,962226000000,1975833000000,6371244000000,2016-05-01
Y30,2016,6,789,3,4,남자,30대,1,4676000,3689364000,14028000,18376680.0,9539040.0,7902440000000,389089960000000,329891800000000,259892080000000,4816280000000,21462840000000,12064080000000,5237120000000,51716560000000,150847760000000,120079680000000,153466320000000,391007120000000,4769520000000,1014692000000,2118228000000,6887748000000,2016-06-01
Y30,2016,7,790,3,4,남자,30대,1,4688000,3703520000,14064000,18330080.0,9516640.0,7641440000000,393229440000000,334207520000000,263043680000000,4875520000000,21564800000000,12141920000000,5578720000000,52036800000000,153156960000000,121794240000000,154985280000000,396042240000000,4655184000000,989168000000,1997088000000,6652272000000,2016-07-01
Y30,2016,8,791,3,4,남자,30대,1,4698000,3716118000,14094000,18322200.0,9536940.0,7798680000000,398061540000000,339054660000000,267128280000000,4979880000000,21704760000000,12167820000000,5731560000000,52288740000000,156114540000000,123369480000000,156772260000000,401538060000000,4693302000000,1071144000000,2034234000000,6727536000000,2016-08-01
Y30,2016,9,790,3,4,남자,30대,1,4699000,3712210000,14097000,18373090.0,9538970.0,7988300000000,402892260000000,344013790000000,270756380000000,4980940000000,21803360000000,12687300000000,5920740000000,52440840000000,159437070000000,124852430000000,158309310000000,406745440000000,4802378000000,991489000000,2194433000000,6996811000000,2016-09-01
Y30,2016,10,791,3,4,남자,30대,1,4704000,3720864000,14112000,18345600.0,9549120.0,7526400000000,406284480000000,347155200000000,273208320000000,5033280000000,21826560000000,12794880000000,5927040000000,52684800000000,160171200000000,127055040000000,159371520000000,409859520000000,4529952000000,936096000000,2060352000000,6590304000000,2016-10-01
Y30,2016,11,791,3,4,남자,30대,1,4708000,3724028000,14124000,18267040.0,9557240.0,7909440000000,411149640000000,351828840000000,276830400000000,5131720000000,21892200000000,12994080000000,6073320000000,52823760000000,162520160000000,129187520000000,161154840000000,415481000000000,4745664000000,1035760000000,2128016000000,6873680000000,2016-11-01
Y30,2016,12,791,3,4,남자,30대,1,4711000,3726401000,14133000,18231570.0,9563330.0,7773150000000,414615110000000,354738300000000,278561430000000,5182100000000,22141700000000,13285020000000,6218520000000,52951640000000,163707250000000,130730250000000,162293950000000,419420330000000,4678023000000,1050553000000,2044574000000,6722597000000,2016-12-01
Y30,2017,1,791,3,4,남자,30대,1,4744000,3752504000,14232000,18169520.0,9535439.999999998,8302000000000,419274720000000,358646400000000,280749920000000,5265840000000,22534000000000,13662720000000,6356960000000,53559760000000,164711680000000,133069200000000,164094960000000,424445680000000,5080824000000,1062656000000,2158520000000,7239344000000,2017-01-01
Y30,2017,2,791,3,4,남자,30대,1,4741000,3750131000,14223000,18110620.0,9529409.999999998,8154520000000,419578500000000,358561830000000,279529360000000,5309920000000,22519750000000,13701490000000,7111500000000,53383660000000,163422270000000,134407350000000,164180830000000,424698780000000,4921158000000,1061984000000,2171378000000,7092536000000,2017-02-01
Y30,2017,3,792,3,4,남자,30대,1,4743000,3756456000,14229000,18118260.0,9486000.0,7446510000000,421320690000000,360325710000000,281165040000000,5359590000000,22481820000000,13707270000000,7161930000000,53358750000000,164344950000000,135317790000000,165008970000000,427296870000000,4505850000000,962829000000,1977831000000,6483681000000,2017-03-01
Y30,2017,4,792,3,4,남자,30대,1,4740000,3754080000,14220000,18106800.0,9527399.999999998,8295000000000,422571000000000,361804200000000,281982600000000,5403600000000,22752000000000,13651200000000,7204800000000,53372400000000,164430600000000,136749000000000,166184400000000,429444000000000,5038620000000,1066500000000,2189880000000,7228500000000,2017-04-01
