avg_score,num_usecard,monthly_card_spend,monthly_bk_loan,monthly_cd_loan,monthly_installments_loan,monthly_insurance_loan,monthly_sbk_loan,loan_commitment,inst_rep_loanb,ls_rep_loanb,credit_loan,mortgage_loan,credit_card_installments_payment,monthly_spend,cluster,city,ages,sex,avg_rat,monthly_loan,credit_card_payment,debit_card_payment
740,1.99,810000,18500000,620000,2110000,680000,1320000,3800000,10520000,9750000,14920000,35450000,83000,727000,2,서울,20대,,4,24940000,254000,473000
782,1.75,790000,24150000,680000,2300000,790000,1160000,5420000,12220000,12240000,19070000,42420000,83000,707000,2,서울,20대,,4,30880000,278000,429000
782,1.74,790000,24240000,680000,2300000,790000,1210000,5350000,12280000,12370000,19190000,42480000,78000,712000,2,서울,20대,,4,31000000,267000,445000
782,1.75,860000,24570000,680000,2300000,790000,1230000,5380000,12320000,12700000,19360000,42980000,89000,771000,2,서울,20대,,4,31390000,292000,479000
781,1.75,820000,24830000,700000,2320000,770000,1250000,5430000,12420000,12870000,19580000,43370000,82000,738000,2,서울,20대,,4,31730000,285000,453000
782,1.76,890000,25110000,710000,2320000,760000,1280000,5440000,12600000,13020000,19740000,43720000,88000,802000,2,서울,20대,,4,32070000,310000,492000
782,1.76,860000,25270000,720000,2340000,760000,1350000,5440000,12780000,13130000,19860000,44250000,85000,775000,2,서울,20대,,4,32350000,305000,470000
783,1.77,870000,25600000,730000,2350000,760000,1370000,5420000,13070000,13230000,20030000,44880000,89000,781000,2,서울,20대,,4,32740000,307000,474000
783,1.77,920000,26010000,730000,2360000,800000,1390000,5470000,13380000,13360000,20340000,45490000,88000,832000,2,서울,20대,,4,33240000,321000,511000
783,1.77,860000,26250000,740000,2350000,800000,1390000,5470000,13520000,13530000,20410000,45820000,84000,776000,2,서울,20대,,4,33540000,300000,476000
784,1.77,890000,26440000,750000,2360000,810000,1430000,5440000,13700000,13700000,20520000,46320000,90000,800000,2,서울,20대,,4,33860000,315000,485000
784,1.77,890000,26620000,760000,2370000,810000,1450000,5440000,13800000,13820000,20660000,46790000,97000,793000,2,서울,20대,,4,34100000,310000,483000
784,1.76,920000,26590000,760000,2390000,810000,1470000,5460000,13810000,13900000,20770000,47010000,95000,825000,2,서울,20대,,4,34200000,330000,495000
784,1.78,900000,26110000,770000,2390000,800000,1650000,5340000,13800000,13710000,20610000,46610000,90000,810000,2,서울,20대,,4,33870000,319000,491000
785,1.77,850000,26010000,770000,2370000,800000,1680000,5270000,13810000,13690000,20620000,46450000,88000,762000,2,서울,20대,,4,33790000,295000,467000
785,1.78,950000,26170000,780000,2400000,810000,1660000,5280000,13910000,13830000,20810000,46870000,99000,851000,2,서울,20대,,4,34020000,331000,520000
786,1.78,900000,26430000,790000,2420000,800000,1660000,5320000,14090000,13910000,21020000,47210000,94000,806000,2,서울,20대,,4,34330000,321000,485000
786,1.78,990000,26630000,800000,2420000,770000,1670000,5330000,14150000,13990000,21180000,47400000,100000,890000,2,서울,20대,,4,34490000,352000,538000
786,1.78,940000,26990000,800000,2430000,760000,1650000,5320000,14350000,14160000,21410000,47800000,96000,844000,2,서울,20대,,4,34840000,336000,508000
786,1.79,980000,27220000,800000,2400000,730000,1630000,5320000,14350000,14320000,21730000,46900000,101000,879000,2,서울,20대,,4,34980000,354000,525000
786,1.79,980000,27530000,800000,2390000,710000,1630000,5390000,14340000,14500000,22070000,46620000,98000,882000,2,서울,20대,,4,35230000,355000,527000
787,1.79,960000,27540000,800000,2380000,700000,1650000,5350000,14280000,14620000,22120000,46700000,100000,860000,2,서울,20대,,4,35240000,351000,509000
787,1.78,960000,27500000,820000,2380000,690000,1650000,5290000,14130000,14780000,22210000,46540000,97000,863000,2,서울,20대,,4,35200000,344000,519000
787,1.78,950000,27570000,820000,2380000,670000,1630000,5370000,13940000,14930000,22460000,46290000,109000,841000,2,서울,20대,,4,35240000,345000,496000
726,1.95,720000,15850000,560000,3430000,1130000,1370000,1590000,14640000,7670000,11690000,33800000,78000,642000,2,인천,20대,,4,24690000,213000,429000
764,1.81,740000,19310000,630000,3620000,1140000,1280000,2320000,16160000,9190000,13700000,38470000,86000,654000,2,인천,20대,,4,28600000,247000,407000
764,1.8,740000,19210000,640000,3610000,1160000,1350000,2270000,16120000,9260000,13720000,38320000,80000,660000,2,인천,20대,,4,28580000,240000,420000
765,1.81,800000,19420000,650000,3610000,1180000,1370000,2280000,16220000,9510000,13850000,38800000,92000,708000,2,인천,20대,,4,28940000,264000,444000
764,1.82,770000,19710000,660000,3630000,1190000,1400000,2260000,16330000,9900000,14080000,39340000,87000,683000,2,인천,20대,,4,29430000,258000,425000
764,1.83,840000,19840000,680000,3690000,1190000,1440000,2250000,16510000,10050000,14240000,39740000,93000,747000,2,인천,20대,,4,29750000,282000,465000
765,1.83,800000,19940000,680000,3700000,1170000,1540000,2250000,16740000,10140000,14340000,40260000,89000,711000,2,인천,20대,,4,30060000,277000,434000
766,1.84,820000,20350000,690000,3690000,1150000,1540000,2260000,17020000,10280000,14450000,40960000,95000,725000,2,인천,20대,,4,30510000,278000,447000
766,1.85,860000,20770000,700000,3690000,1180000,1570000,2260000,17320000,10440000,14670000,41490000,92000,768000,2,인천,20대,,4,30960000,288000,480000
766,1.84,820000,21010000,720000,3680000,1220000,1590000,2230000,17510000,10550000,14790000,41750000,89000,731000,2,인천,20대,,4,31250000,272000,459000
766,1.84,840000,21600000,720000,3670000,1230000,1640000,2240000,17570000,11250000,15400000,42570000,96000,744000,2,인천,20대,,4,32020000,286000,458000
766,1.84,840000,21860000,740000,3720000,1220000,1670000,2240000,17740000,11460000,15480000,43730000,102000,738000,2,인천,20대,,4,32400000,284000,454000
767,1.84,870000,21730000,750000,3750000,1240000,1690000,2200000,17670000,11520000,15460000,43800000,99000,771000,2,인천,20대,,4,32350000,302000,469000
767,1.86,850000,21750000,740000,3740000,1220000,1860000,2220000,17660000,11640000,15480000,44070000,96000,754000,2,인천,20대,,4,32470000,288000,466000
768,1.86,810000,21770000,750000,3740000,1200000,1880000,2190000,17660000,11730000,15550000,44120000,91000,719000,2,인천,20대,,4,32510000,268000,451000
768,1.86,910000,21870000,760000,3810000,1200000,1870000,2190000,17730000,11890000,15770000,44480000,104000,806000,2,인천,20대,,4,32740000,307000,499000
768,1.86,860000,22140000,770000,3820000,1200000,1880000,2240000,17810000,12060000,15950000,44870000,98000,762000,2,인천,20대,,4,33050000,294000,468000
769,1.87,940000,22200000,790000,3870000,1180000,1880000,2220000,17810000,12170000,16040000,45010000,106000,834000,2,인천,20대,,4,33160000,321000,513000
769,1.87,900000,22490000,800000,3920000,1180000,1860000,2200000,17990000,12260000,16180000,44990000,102000,798000,2,인천,20대,,4,33400000,310000,488000
769,1.87,940000,22460000,790000,3890000,1170000,1840000,2250000,17960000,12210000,16280000,44220000,108000,832000,2,인천,20대,,4,33360000,323000,509000
769,1.87,940000,22490000,790000,3890000,1130000,1830000,2290000,17890000,12160000,16470000,43670000,104000,836000,2,인천,20대,,4,33250000,325000,511000
770,1.87,910000,22770000,790000,3900000,1120000,1850000,2240000,18070000,12380000,16680000,44150000,105000,805000,2,인천,20대,,4,33620000,323000,482000
770,1.87,930000,22970000,810000,3890000,1120000,1850000,2230000,18110000,12490000,16810000,44360000,104000,826000,2,인천,20대,,4,33770000,319000,507000
771,1.87,920000,22940000,810000,3940000,1110000,1820000,2220000,18200000,12320000,16900000,43980000,117000,803000,2,인천,20대,,4,33670000,322000,481000
737,1.86,630000,12590000,590000,3020000,530000,1320000,2580000,9050000,8490000,12280000,27000000,60000,570000,2,대전,20대,,4,20910000,169000,401000
771,1.75,720000,16630000,670000,3290000,670000,1190000,3510000,10770000,10050000,14830000,31860000,77000,643000,2,대전,20대,,4,25240000,235000,408000
771,1.74,710000,16780000,670000,3340000,660000,1220000,3530000,10750000,10180000,15100000,31750000,73000,637000,2,대전,20대,,4,25380000,227000,410000
771,1.75,770000,16800000,680000,3330000,650000,1260000,3570000,10670000,10280000,15180000,31810000,84000,686000,2,대전,20대,,4,25430000,245000,441000
771,1.76,730000,16780000,690000,3350000,620000,1280000,3560000,10630000,10360000,15280000,31840000,76000,654000,2,대전,20대,,4,25480000,241000,413000
771,1.77,810000,17080000,720000,3350000,630000,1310000,3550000,10740000,10650000,15400000,32520000,83000,727000,2,대전,20대,,4,25890000,271000,456000
771,1.77,770000,17050000,730000,3350000,640000,1380000,3590000,10850000,10630000,15520000,32790000,80000,690000,2,대전,20대,,4,26010000,263000,427000
773,1.77,780000,17380000,740000,3310000,640000,1400000,3610000,10960000,10810000,15610000,33380000,85000,695000,2,대전,20대,,4,26320000,258000,437000
773,1.78,820000,17440000,750000,3340000,680000,1440000,3580000,11120000,10900000,15730000,33610000,81000,739000,2,대전,20대,,4,26550000,269000,470000
773,1.77,770000,17620000,760000,3330000,680000,1450000,3580000,11150000,11150000,15840000,33990000,78000,692000,2,대전,20대,,4,26820000,250000,442000
773,1.77,800000,17730000,770000,3360000,680000,1510000,3600000,11200000,11380000,16030000,34530000,85000,715000,2,대전,20대,,4,27140000,267000,448000
773,1.77,800000,17730000,780000,3380000,670000,1520000,3600000,11290000,11320000,16030000,34640000,91000,709000,2,대전,20대,,4,27170000,260000,449000
773,1.77,830000,17690000,790000,3430000,650000,1540000,3590000,11330000,11440000,16050000,34810000,88000,742000,2,대전,20대,,4,27290000,281000,461000
