cluster,avg_score,monthly_loan,monthly_bk_loan,monthly_cd_loan,monthly_installments_loan,monthly_insurance_loan,monthly_sbk_loan,credit_loan,mortgage_loan,inst_rep_loanb,ls_rep_loanb
2,740,24940000,18500000,620000,2110000,680000,1320000,14920000,35450000,10520000,9750000
2,782,30880000,24150000,680000,2300000,790000,1160000,19070000,42420000,12220000,12240000
2,782,31000000,24240000,680000,2300000,790000,1210000,19190000,42480000,12280000,12370000
2,782,31390000,24570000,680000,2300000,790000,1230000,19360000,42980000,12320000,12700000
2,781,31730000,24830000,700000,2320000,770000,1250000,19580000,43370000,12420000,12870000
2,782,32070000,25110000,710000,2320000,760000,1280000,19740000,43720000,12600000,13020000
2,782,32350000,25270000,720000,2340000,760000,1350000,19860000,44250000,12780000,13130000
2,783,32740000,25600000,730000,2350000,760000,1370000,20030000,44880000,13070000,13230000
2,783,33240000,26010000,730000,2360000,800000,1390000,20340000,45490000,13380000,13360000
2,783,33540000,26250000,740000,2350000,800000,1390000,20410000,45820000,13520000,13530000
2,784,33860000,26440000,750000,2360000,810000,1430000,20520000,46320000,13700000,13700000
2,784,34100000,26620000,760000,2370000,810000,1450000,20660000,46790000,13800000,13820000
2,784,34200000,26590000,760000,2390000,810000,1470000,20770000,47010000,13810000,13900000
2,784,33870000,26110000,770000,2390000,800000,1650000,20610000,46610000,13800000,13710000
2,785,33790000,26010000,770000,2370000,800000,1680000,20620000,46450000,13810000,13690000
2,785,34020000,26170000,780000,2400000,810000,1660000,20810000,46870000,13910000,13830000
2,786,34330000,26430000,790000,2420000,800000,1660000,21020000,47210000,14090000,13910000
2,786,34490000,26630000,800000,2420000,770000,1670000,21180000,47400000,14150000,13990000
2,786,34840000,26990000,800000,2430000,760000,1650000,21410000,47800000,14350000,14160000
2,786,34980000,27220000,800000,2400000,730000,1630000,21730000,46900000,14350000,14320000
2,786,35230000,27530000,800000,2390000,710000,1630000,22070000,46620000,14340000,14500000
2,787,35240000,27540000,800000,2380000,700000,1650000,22120000,46700000,14280000,14620000
2,787,35200000,27500000,820000,2380000,690000,1650000,22210000,46540000,14130000,14780000
2,787,35240000,27570000,820000,2380000,670000,1630000,22460000,46290000,13940000,14930000
2,726,24690000,15850000,560000,3430000,1130000,1370000,11690000,33800000,14640000,7670000
2,764,28600000,19310000,630000,3620000,1140000,1280000,13700000,38470000,16160000,9190000
2,764,28580000,19210000,640000,3610000,1160000,1350000,13720000,38320000,16120000,9260000
2,765,28940000,19420000,650000,3610000,1180000,1370000,13850000,38800000,16220000,9510000
2,764,29430000,19710000,660000,3630000,1190000,1400000,14080000,39340000,16330000,9900000
2,764,29750000,19840000,680000,3690000,1190000,1440000,14240000,39740000,16510000,10050000
2,765,30060000,19940000,680000,3700000,1170000,1540000,14340000,40260000,16740000,10140000
2,766,30510000,20350000,690000,3690000,1150000,1540000,14450000,40960000,17020000,10280000
2,766,30960000,20770000,700000,3690000,1180000,1570000,14670000,41490000,17320000,10440000
2,766,31250000,21010000,720000,3680000,1220000,1590000,14790000,41750000,17510000,10550000
2,766,32020000,21600000,720000,3670000,1230000,1640000,15400000,42570000,17570000,11250000
2,766,32400000,21860000,740000,3720000,1220000,1670000,15480000,43730000,17740000,11460000
2,767,32350000,21730000,750000,3750000,1240000,1690000,15460000,43800000,17670000,11520000
2,767,32470000,21750000,740000,3740000,1220000,1860000,15480000,44070000,17660000,11640000
2,768,32510000,21770000,750000,3740000,1200000,1880000,15550000,44120000,17660000,11730000
2,768,32740000,21870000,760000,3810000,1200000,1870000,15770000,44480000,17730000,11890000
2,768,33050000,22140000,770000,3820000,1200000,1880000,15950000,44870000,17810000,12060000
2,769,33160000,22200000,790000,3870000,1180000,1880000,16040000,45010000,17810000,12170000
2,769,33400000,22490000,800000,3920000,1180000,1860000,16180000,44990000,17990000,12260000
2,769,33360000,22460000,790000,3890000,1170000,1840000,16280000,44220000,17960000,12210000
2,769,33250000,22490000,790000,3890000,1130000,1830000,16470000,43670000,17890000,12160000
2,770,33620000,22770000,790000,3900000,1120000,1850000,16680000,44150000,18070000,12380000
2,770,33770000,22970000,810000,3890000,1120000,1850000,16810000,44360000,18110000,12490000
2,771,33670000,22940000,810000,3940000,1110000,1820000,16900000,43980000,18200000,12320000
2,737,20910000,12590000,590000,3020000,530000,1320000,12280000,27000000,9050000,8490000
2,771,25240000,16630000,670000,3290000,670000,1190000,14830000,31860000,10770000,10050000
2,771,25380000,16780000,670000,3340000,660000,1220000,15100000,31750000,10750000,10180000
2,771,25430000,16800000,680000,3330000,650000,1260000,15180000,31810000,10670000,10280000
2,771,25480000,16780000,690000,3350000,620000,1280000,15280000,31840000,10630000,10360000
2,771,25890000,17080000,720000,3350000,630000,1310000,15400000,32520000,10740000,10650000
2,771,26010000,17050000,730000,3350000,640000,1380000,15520000,32790000,10850000,10630000
2,773,26320000,17380000,740000,3310000,640000,1400000,15610000,33380000,10960000,10810000
2,773,26550000,17440000,750000,3340000,680000,1440000,15730000,33610000,11120000,10900000
2,773,26820000,17620000,760000,3330000,680000,1450000,15840000,33990000,11150000,11150000
2,773,27140000,17730000,770000,3360000,680000,1510000,16030000,34530000,11200000,11380000
2,773,27170000,17730000,780000,3380000,670000,1520000,16030000,34640000,11290000,11320000
2,773,27290000,17690000,790000,3430000,650000,1540000,16050000,34810000,11330000,11440000
